index,price,type,size,municipality,district
1109,590,3,85.0,Ferreiros e Gondizalves,Braga
1110,990,1,80.0,Lumiar,Lisboa
1111,850,3,94.5,Paranhos,Porto
1112,1700,2,127.0,Cascais,Lisboa
1113,1200,3,108.0,Belém,Lisboa
1114,2400,4,176.0,Oeiras,Lisboa
1115,980,2,85.0,Cascais,Lisboa
1116,800,1,45.0,São Vicente,Lisboa
1117,1200,2,90.0,Avenidas Novas,Lisboa
1118,525,2,80.0,Santo António dos Olivais,Coimbra
1119,400,2,100.0,Barcelos,Braga
1120,700,0,28.5,Belém,Lisboa
1121,875,3,92.0,Oeiras,Lisboa
1122,1100,2,55.0,Campo de Ourique,Lisboa
1123,650,2,75.0,Sintra,Lisboa
1124,750,1,68.0,Penha de França,Lisboa
1125,1850,3,117.0,Cascais,Lisboa
1126,2350,2,157.0,Oeiras,Lisboa
1128,3100,3,149.97,Cascais,Lisboa
1129,750,3,129.0,Portimão,Faro
1130,2300,5,201.0,Parque das Nações,Lisboa
1131,900,3,115.0,Almada,Setúbal
1132,1200,2,85.0,Odivelas,Lisboa
1133,495,1,60.0,Santo António dos Olivais,Coimbra
1134,750,1,37.0,Foz do Douro e Nevogilde,Porto
1135,570,2,80.0,São Nicolau e Vitória,Porto
1136,1100,4,100.0,Estrela,Lisboa
1138,1250,2,73.0,Avenidas Novas,Lisboa
1139,650,2,72.0,Seixal,Setúbal
1140,1200,4,68.0,Campo de Ourique,Lisboa
1141,950,1,55.0,Parque das Nações,Lisboa
1142,675,2,90.0,Montijo,Setúbal
1143,650,0,50.0,São Nicolau e Vitória,Porto
1144,625,2,90.0,Montijo,Setúbal
1145,750,4,130.0,Paranhos,Porto
1146,750,3,156.0,Gondomar,Porto
1147,850,3,72.0,Marvila,Lisboa
1148,1700,2,86.0,Cascais,Lisboa
1149,1500,3,122.0,Olivais,Lisboa
1150,850,1,53.0,Arroios,Lisboa
1151,600,1,50.0,Paranhos,Porto
1152,1150,1,124.0,São Vicente,Lisboa
1153,1500,1,88.0,Avenidas Novas,Lisboa
1154,2900,4,283.0,Avenidas Novas,Lisboa
1155,2000,3,120.0,Cascais,Lisboa
1156,1150,2,75.0,Alvalade,Lisboa
1157,1100,2,105.0,Foz do Douro e Nevogilde,Porto
1158,3250,6,202.0,Avenidas Novas,Lisboa
1159,2850,3,160.0,Estrela,Lisboa
1160,1850,3,124.0,Cascais,Lisboa
1161,800,3,100.0,Almada,Setúbal
1162,750,3,85.0,Almada,Setúbal
1163,1500,3,94.0,Cascais,Lisboa
1164,1700,3,160.0,Ramalde,Porto
1165,750,2,100.0,Ramalde,Porto
1166,800,3,110.0,São Nicolau e Vitória,Porto
1167,850,1,43.0,Campolide,Lisboa
1168,850,3,92.0,Bonfim,Porto
1169,1400,2,81.0,Sintra,Lisboa
1170,500,2,100.0,Vila Nova de Gaia,Porto
1171,1700,2,158.0,Belém,Lisboa
1172,1200,1,85.0,Oeiras,Lisboa
1173,640,2,66.0,Barreiro,Setúbal
1174,950,1,65.0,Alvalade,Lisboa
1175,1200,4,140.0,Funchal,Ilha da Madeira
1176,800,3,95.7,Glória e Vera Cruz,Aveiro
1177,1300,2,127.0,Cascais,Lisboa
1178,2600,4,180.0,Avenidas Novas,Lisboa
1179,1050,3,83.0,Bonfim,Porto
1181,1400,2,80.0,Santo António,Lisboa
1182,700,2,75.0,Almada,Setúbal
1183,1200,3,124.4,Ramalde,Porto
1184,1800,3,168.0,Sintra,Lisboa
1185,725,1,55.0,São Vicente,Lisboa
1186,3750,5,349.0,Avenidas Novas,Lisboa
1187,3150,5,237.0,Avenidas Novas,Lisboa
1188,3250,6,217.0,Avenidas Novas,Lisboa
1189,750,2,77.8,Ramalde,Porto
1190,1700,4,116.0,Ramalde,Porto
1191,1600,4,112.0,Alvalade,Lisboa
1192,800,3,105.0,Mafra,Lisboa
1193,975,2,89.0,Cascais,Lisboa
1194,800,2,70.0,Oeiras,Lisboa
1195,1700,4,180.0,Avenidas Novas,Lisboa
1196,1000,2,85.0,Carnide,Lisboa
1197,650,2,88.0,Santo António dos Olivais,Coimbra
1198,830,3,135.0,São Nicolau e Vitória,Porto
1199,4500,2,101.0,Albufeira,Faro
1200,4000,1,70.0,Albufeira,Faro
1201,1000,1,51.0,Arroios,Lisboa
1202,1200,4,148.0,Seixal,Setúbal
1203,1000,2,80.0,Estrela,Lisboa
